episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
131,0.001375,0.639842,-0.000079,0.002439,0.025651,0.003930,6,1181.980877
132,0.001386,0.637152,-0.000162,0.002680,0.027416,0.004396,30,1191.150068
133,0.001489,0.609972,-0.000580,0.002671,0.029208,0.002977,11,1200.288213
134,0.001397,0.634152,0.000343,0.003864,0.030370,0.003496,13,1208.580281
135,0.001339,0.649331,0.000029,0.000981,0.031738,0.004508,11,1217.344277
136,0.001446,0.621405,-0.000110,0.001813,0.033976,0.001783,30,1226.085260
137,0.001518,0.602368,-0.000207,0.002025,0.036555,0.003601,16,1234.986394
138,0.001716,0.550553,0.000149,0.005585,0.037880,0.003743,8,1244.371748
139,0.001754,0.540703,-0.000133,0.002919,0.038929,0.002637,12,1254.554013
140,0.001519,0.602355,-0.000163,0.003307,0.040615,0.003134,30,1264.870274
141,0.001544,0.595601,-0.000196,0.001639,0.042906,0.004317,30,1274.959416
142,0.001628,0.573600,-0.000126,0.003610,0.044853,0.003832,14,1284.625540
143,0.001628,0.573638,-0.000306,0.003396,0.045993,0.003446,13,1293.795625
144,0.001683,0.559363,0.000008,0.004814,0.047659,0.004375,30,1303.461361
145,0.001486,0.610794,-0.000034,0.001830,0.049698,0.003049,30,1312.883089
146,0.001584,0.585138,-0.000167,0.002378,0.051300,0.003799,10,1322.103830
147,0.001640,0.570599,-0.000758,0.005765,0.051968,0.003399,9,1331.194710
148,0.001477,0.613285,-0.000045,0.003440,0.052537,0.004484,8,1340.277177
149,0.001682,0.559582,0.000320,0.003823,0.053478,0.002712,17,1349.863354
150,0.001522,0.601341,-0.000111,0.002461,0.055766,0.004415,30,1359.675214
151,0.001441,0.622744,-0.000246,0.003430,0.058306,0.003542,9,1369.378817
152,0.001491,0.609494,-0.000405,0.004015,0.059570,0.002159,9,1378.205165
153,0.001425,0.626799,0.000049,0.001684,0.061785,0.004080,26,1387.689822
154,0.001415,0.629421,0.000026,0.001184,0.064943,0.002445,30,1397.618590
155,0.001521,0.601658,-0.000250,0.004858,0.067792,0.004775,30,1407.090330
156,0.001374,0.640158,-0.000166,0.002166,0.069511,0.003541,12,1416.050414
157,0.001194,0.687230,-0.000094,0.001161,0.071229,0.002866,30,1425.404846
158,0.001140,0.701607,-0.000133,0.002652,0.072929,0.003900,8,1434.732258
159,0.001111,0.709013,0.000067,0.000895,0.075032,0.006101,30,1444.444019
160,0.001329,0.652062,-0.000312,0.003673,0.077188,0.003656,10,1453.864240
161,0.001266,0.668404,-0.000261,0.002317,0.078821,0.003863,30,1463.825153
162,0.001364,0.642861,-0.000127,0.002489,0.081168,0.003397,30,1474.136936
163,0.001288,0.662759,0.000004,0.001250,0.082872,0.003657,12,1483.812441
164,0.001241,0.675134,-0.000079,0.002117,0.085384,0.003998,30,1493.582912
165,0.001222,0.679919,-0.000120,0.000969,0.089080,0.002118,30,1503.510380
166,0.001283,0.664041,-0.000392,0.002709,0.090826,0.002994,6,1512.552385
167,0.001370,0.641157,0.000018,0.001092,0.092285,0.003879,23,1521.892101
168,0.001418,0.628778,0.000091,0.001941,0.094874,0.003312,30,1531.021520
169,0.001408,0.631416,-0.000424,0.001766,0.096644,0.003622,11,1539.752000
170,0.001373,0.640515,0.000274,0.004146,0.097647,0.003291,8,1549.247821
171,0.001368,0.641870,-0.000422,0.003262,0.098680,0.003463,9,1558.473906
172,0.001347,0.647149,-0.000747,0.009537,0.099534,0.005456,6,1568.595324
173,0.001214,0.682128,-0.000333,0.003510,0.100527,0.003318,13,1577.876408
174,0.000988,0.741222,0.000094,0.001856,0.102662,0.001318,30,1588.112722
175,0.001054,0.723944,-0.000298,0.003076,0.106081,0.005180,30,1597.658825
176,0.001036,0.728620,-0.000094,0.001090,0.109750,0.003284,30,1607.100168
177,0.000956,0.749596,0.000249,0.004374,0.111877,0.003561,7,1616.685752
178,0.000903,0.763571,0.000010,0.000928,0.113911,0.003059,26,1625.795101
179,0.000762,0.800533,0.000101,0.001025,0.116867,0.004133,30,1635.533899
180,0.000757,0.801777,-0.000373,0.000869,0.118507,0.003801,9,1644.864662
181,0.000776,0.796873,-0.000182,0.001540,0.119317,0.002628,11,1654.322867
182,0.000680,0.821903,0.000067,0.000471,0.121228,0.004503,30,1664.090760
183,0.000784,0.794668,-0.000220,0.001985,0.123394,0.003199,8,1673.453775
184,0.000870,0.772163,-0.000124,0.001492,0.125290,0.003397,30,1682.799663
185,0.000784,0.794781,-0.000035,0.000654,0.127763,0.004633,30,1692.191650
186,0.000814,0.786846,-0.000042,0.000921,0.129615,0.003483,13,1701.622235
187,0.000852,0.776822,-0.000024,0.000671,0.131308,0.002771,17,1711.299853
188,0.000786,0.794254,0.000272,0.001552,0.132698,0.003089,12,1720.708121
189,0.000851,0.777223,-0.000279,0.001024,0.133966,0.002149,16,1729.732605
190,0.000882,0.769125,-0.000349,0.000758,0.135660,0.004243,17,1739.009409
191,0.000777,0.796573,-0.000101,0.001248,0.137140,0.003119,8,1748.666988
192,0.000853,0.776636,0.000101,0.001696,0.137969,0.004930,7,1759.115451
193,0.000999,0.738499,-0.000270,0.002818,0.138817,0.002591,10,1768.797781
194,0.000832,0.782113,-0.000061,0.006518,0.139628,0.003915,6,1777.826174
195,0.000689,0.819545,-0.000058,0.003902,0.140264,0.003881,8,1786.768779
196,0.000605,0.841655,-0.000180,0.001773,0.141217,0.003884,11,1795.927082
197,0.000456,0.880521,-0.000038,0.000500,0.143414,0.002642,30,1804.901090
198,0.000460,0.879552,-0.000125,0.000468,0.146118,0.004364,20,1813.311148
199,0.000544,0.857536,0.000098,0.001633,0.147508,0.003653,9,1822.105492
200,0.000469,0.877070,-0.000117,0.000568,0.149242,0.004749,30,1831.779149
201,0.000648,0.830225,-0.000419,0.003562,0.150918,0.003679,7,1841.220852
202,0.000600,0.842852,-0.000143,0.000888,0.151487,0.005112,7,1850.713919
203,0.000765,0.799608,-0.000253,0.003495,0.152079,0.004868,7,1860.357314
204,0.000724,0.810462,0.000157,0.001672,0.153257,0.003611,17,1869.683190
205,0.000621,0.837393,-0.000095,0.000580,0.154564,0.003645,8,1878.969086
206,0.000852,0.776898,-0.000461,0.004444,0.155476,0.002997,10,1887.905178
207,0.000604,0.841913,0.000060,0.003920,0.156454,0.005163,9,1897.200395
208,0.000558,0.853782,-0.000101,0.001885,0.157532,0.003292,12,1906.433596
209,0.000621,0.837258,-0.000001,0.002434,0.158614,0.002341,10,1915.506112
210,0.000522,0.863224,0.000025,0.002415,0.159364,0.004210,6,1924.825323
211,0.000458,0.879946,-0.000145,0.002147,0.160068,0.004479,9,1934.367766
212,0.000453,0.881344,-0.000041,0.002167,0.160809,0.004650,7,1944.419593
213,0.000373,0.902419,-0.000114,0.000398,0.161492,0.004684,7,1953.721691
214,0.000543,0.857735,-0.000442,0.005335,0.162138,0.004227,7,1962.404241
215,0.000358,0.906264,-0.000147,0.001018,0.163826,0.005105,30,1971.896453
216,0.000441,0.884435,-0.000148,0.000402,0.165679,0.003194,11,1981.118665
217,0.000557,0.854035,-0.000101,0.001729,0.166732,0.003039,12,1989.986654
218,0.000458,0.880154,-0.000064,0.000904,0.168090,0.005155,18,1999.087614
219,0.000439,0.884956,0.000245,0.000896,0.169427,0.004357,11,2008.460330
220,0.000466,0.877955,-0.000133,0.000751,0.170408,0.002885,11,2017.483675
221,0.000399,0.895468,0.000046,0.001141,0.171173,0.003770,8,2027.058888
222,0.000365,0.904418,-0.000129,0.000354,0.171958,0.003705,10,2037.379619
223,0.000423,0.889193,-0.000197,0.001668,0.172987,0.003118,11,2046.618345
224,0.000335,0.912321,-0.000055,0.000669,0.174119,0.003312,12,2055.701293
225,0.000368,0.903706,-0.000292,0.001891,0.175500,0.003212,14,2064.939739
226,0.000291,0.923788,-0.000113,0.000442,0.177858,0.004611,30,2074.335303
227,0.000330,0.913616,0.000067,0.000486,0.180034,0.003858,13,2083.004454
228,0.000451,0.881991,0.000038,0.002620,0.180996,0.005181,6,2092.061611
229,0.000362,0.905319,0.000187,0.000648,0.181593,0.005173,7,2100.714536
230,0.000391,0.897740,-0.000005,0.000635,0.182392,0.002882,9,2109.717336
231,0.000414,0.891510,-0.000034,0.000788,0.184379,0.003853,30,2119.171740
232,0.000441,0.884462,-0.000047,0.001398,0.186258,0.004732,7,2127.952454
233,0.000387,0.898755,-0.000014,0.000794,0.187557,0.003159,16,2137.015578
234,0.000415,0.891304,-0.000444,0.001169,0.188867,0.003711,6,2145.399828
235,0.000467,0.877797,0.000127,0.001003,0.189953,0.002375,13,2153.795399
236,0.000386,0.898833,0.000086,0.001021,0.191084,0.004684,7,2162.591243
237,0.000483,0.873530,-0.000364,0.001885,0.191863,0.004071,7,2171.348751
238,0.000455,0.880924,0.000227,0.001377,0.192505,0.004406,5,2180.273443
239,0.000541,0.858340,-0.000163,0.001625,0.193604,0.003320,20,2189.248773
240,0.000552,0.855565,-0.000222,0.001927,0.195778,0.004675,30,2198.670915
