episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
217,0.181661,0.328671,-0.000220,0.000651,-2.074863,0.002503,23,1094.354136
218,0.173612,0.336720,0.000018,0.000351,-2.072203,0.001307,30,1099.455743
219,0.185864,0.324468,-0.000320,0.001174,-2.069776,0.003466,19,1104.505158
220,0.191015,0.319317,-0.000046,0.001830,-2.067789,0.002710,24,1109.579051
221,0.195105,0.315227,-0.000089,0.000887,-2.065361,0.001566,30,1114.663753
222,0.170425,0.339907,-0.000046,0.000435,-2.062394,0.001107,30,1119.704936
223,0.186107,0.324225,-0.000084,0.001036,-2.059388,0.002552,30,1124.783529
224,0.179232,0.331100,-0.000016,0.000517,-2.056438,0.000137,30,1129.875027
225,0.171295,0.339037,-0.000054,0.000618,-2.053413,0.002706,30,1134.979028
226,0.199086,0.311246,-0.000103,0.000848,-2.050364,0.000188,30,1140.063653
227,0.214214,0.296118,-0.000116,0.000761,-2.047371,0.002847,28,1145.142791
228,0.169172,0.341160,-0.000159,0.001273,-2.044446,0.002541,30,1150.187483
229,0.206372,0.303959,-0.000001,0.001346,-2.041439,0.000384,30,1155.183516
230,0.201447,0.308885,-0.000261,0.000889,-2.039187,0.003061,19,1160.162604
231,0.168122,0.342209,0.000066,0.001195,-2.036822,0.003196,30,1165.319497
232,0.193866,0.316465,-0.000078,0.000856,-2.033785,0.000088,30,1170.490393
233,0.197289,0.313042,-0.000090,0.001833,-2.031293,0.002777,20,1175.526771
234,0.160471,0.349861,-0.000009,0.000701,-2.028771,0.002406,30,1180.647105
235,0.181857,0.328475,-0.000072,0.001331,-2.025820,0.000433,30,1185.789576
236,0.190086,0.320246,-0.000082,0.001415,-2.022802,0.000071,30,1190.877067
237,0.179403,0.330929,-0.000025,0.000700,-2.020165,0.003088,24,1195.856605
238,0.173479,0.336853,0.000017,0.000900,-2.017327,0.001428,30,1200.992314
239,0.162285,0.348047,-0.000132,0.001391,-2.014499,0.003033,22,1206.003210
240,0.158346,0.351986,-0.000053,0.000501,-2.011807,0.000876,30,1211.065981
241,0.190816,0.319516,0.000006,0.000643,-2.008756,0.001016,30,1216.166692
242,0.180325,0.330006,0.000051,0.000626,-2.005793,0.000848,30,1221.340340
243,0.149097,0.361235,-0.000088,0.001430,-2.002972,0.003180,28,1226.405104
244,0.156124,0.354208,-0.000083,0.000854,-2.000142,0.000916,30,1231.433618
245,0.185495,0.324837,-0.000266,0.001522,-1.997381,0.003444,24,1236.492458
246,0.172301,0.338031,-0.000157,0.001225,-1.994710,0.000538,30,1241.640983
247,0.184742,0.325590,-0.000014,0.000501,-1.991789,0.000290,30,1246.759264
248,0.168488,0.341843,-0.000015,0.000441,-1.988876,0.000024,30,1251.832011
249,0.176824,0.333508,0.000012,0.000306,-1.985926,0.000303,30,1257.016787
250,0.171579,0.338753,-0.000082,0.001335,-1.982934,0.001513,30,1262.176593
251,0.199043,0.311289,-0.000096,0.000959,-1.979985,0.002085,30,1267.248183
252,0.180010,0.330321,-0.000031,0.000607,-1.977108,0.002720,30,1272.349877
253,0.235801,0.274531,-0.000360,0.004081,-1.974872,0.003290,16,1277.295533
254,0.157232,0.353100,0.000019,0.001722,-1.972742,0.002568,30,1282.502971
255,0.197855,0.312477,0.000074,0.000929,-1.969706,0.000911,30,1287.593431
256,0.180351,0.329980,-0.000003,0.000357,-1.966710,0.000213,30,1292.690831
257,0.163658,0.346674,-0.000048,0.000510,-1.963729,0.001061,30,1297.756115
258,0.178449,0.331883,-0.000128,0.000755,-1.960880,0.002097,30,1302.950229
259,0.164005,0.346327,-0.000198,0.001418,-1.958039,0.000911,30,1307.956861
260,0.163975,0.346357,0.000031,0.001260,-1.955001,0.002196,30,1313.048218
261,0.172506,0.337826,-0.000101,0.000746,-1.952015,0.000308,30,1318.264075
262,0.180373,0.329959,-0.000130,0.001173,-1.949084,0.001358,30,1323.390220
263,0.169400,0.340932,0.000033,0.000325,-1.946109,0.000144,30,1328.471416
264,0.171123,0.339209,-0.000030,0.000735,-1.943179,0.001898,30,1333.581743
265,0.171584,0.338748,0.000022,0.000460,-1.940269,0.000476,30,1338.613211
266,0.183293,0.327039,-0.000055,0.000734,-1.937157,0.001943,30,1343.661257
