episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,wall_time
105,0.017479,-0.013695,-0.000004,0.000004,-2.270495,0.001811,30,474.512860
106,0.016454,-0.012669,-0.000006,0.000004,-2.267474,0.002132,30,479.709106
107,0.015952,-0.012167,0.000006,0.000004,-2.264455,0.001053,30,484.917489
108,0.015621,-0.011837,0.000003,0.000004,-2.261440,0.000521,30,490.153062
109,0.015372,-0.011588,-0.000002,0.000004,-2.258432,0.000461,30,495.257337
110,0.014870,-0.011086,0.000002,0.000003,-2.255421,0.000227,30,500.526812
111,0.014957,-0.011172,0.000002,0.000004,-2.252410,0.003177,30,505.694300
112,0.014058,-0.010274,-0.000004,0.000003,-2.249404,0.000473,30,511.162991
113,0.013751,-0.009967,-0.000004,0.000003,-2.246399,0.000528,30,516.268855
114,0.013349,-0.009564,0.000002,0.000003,-2.243394,0.000757,30,521.747130
115,0.013085,-0.009301,-0.000000,0.000003,-2.240383,0.000443,30,526.878621
116,0.012635,-0.008851,-0.000005,0.000003,-2.237362,0.001358,30,532.289596
117,0.011820,-0.008036,-0.000002,0.000003,-2.234341,0.000516,30,537.390934
118,0.011853,-0.008068,-0.000005,0.000003,-2.231326,0.001012,30,542.824838
119,0.012602,-0.008817,-0.000011,0.000003,-2.228319,0.001010,30,548.028168
120,0.012118,-0.008333,0.000003,0.000003,-2.225313,0.000734,30,553.474788
121,0.011568,-0.007784,0.000001,0.000003,-2.222305,0.000916,30,558.842483
122,0.011090,-0.007306,-0.000008,0.000002,-2.219297,0.000458,30,564.346381
123,0.010668,-0.006884,-0.000001,0.000002,-2.216286,0.000173,30,569.553917
124,0.010925,-0.007141,0.000000,0.000002,-2.213276,0.000295,30,574.419047
125,0.010610,-0.006826,-0.000008,0.000003,-2.210268,0.002056,30,579.652168
126,0.009574,-0.005790,-0.000005,0.000002,-2.207258,0.001143,30,585.039973
127,0.009359,-0.005575,0.000002,0.000002,-2.204251,0.000236,30,590.114661
128,0.008854,-0.005070,-0.000000,0.000002,-2.201243,0.000735,30,594.471943
129,0.008671,-0.004887,-0.000003,0.000002,-2.198240,0.000408,30,598.899921
130,0.008568,-0.004784,-0.000003,0.000002,-2.195236,0.002051,30,603.187821
131,0.007645,-0.003861,-0.000002,0.000002,-2.192232,0.000246,30,607.202787
132,0.007667,-0.003883,-0.000002,0.000002,-2.189223,0.000059,30,611.499979
133,0.007965,-0.004181,-0.000007,0.000002,-2.186213,0.000104,30,615.683126
134,0.007821,-0.004037,0.000005,0.000002,-2.183208,0.000294,30,620.043710
135,0.007400,-0.003615,-0.000004,0.000002,-2.180204,0.000145,30,624.165142
136,0.007597,-0.003813,-0.000004,0.000002,-2.177195,0.000537,30,628.285020
137,0.006908,-0.003124,-0.000008,0.000002,-2.174187,0.000270,30,632.490484
138,0.007062,-0.003278,0.000005,0.000002,-2.171183,0.000274,30,636.728922
139,0.007180,-0.003396,-0.000001,0.000002,-2.168178,0.000044,30,640.999139
140,0.007103,-0.003318,0.000003,0.000002,-2.165174,0.000113,30,645.227540
141,0.006738,-0.002954,0.000001,0.000002,-2.162169,0.000071,30,649.385938
142,0.006922,-0.003138,-0.000000,0.000001,-2.159158,0.000119,30,654.230245
143,0.006547,-0.002763,0.000005,0.000002,-2.156149,0.000075,30,659.177244
144,0.006203,-0.002419,-0.000002,0.000001,-2.153145,0.000056,30,664.113796
145,0.006368,-0.002584,0.000002,0.000001,-2.150142,0.000298,30,668.779044
146,0.006204,-0.002420,-0.000001,0.000001,-2.147138,0.000218,30,673.263895
147,0.006015,-0.002230,-0.000002,0.000001,-2.144130,0.000183,30,677.843903
