episode,loss,reward,policy_loss,value_loss,entropy,kl,n_ppo_updates,lr,wall_time
90,0.000259,0.932254,0.000182,0.003245,-0.038065,0.006524,4,0.000100,391.239488
91,0.000275,0.927877,-0.000070,0.001106,-0.037143,0.005066,15,0.000099,395.610765
92,0.000277,0.927595,-0.000234,0.000802,-0.036062,0.003984,8,0.000099,399.846246
93,0.000292,0.923584,-0.000045,0.000577,-0.035126,0.003897,11,0.000099,404.038903
94,0.000501,0.868749,0.000002,0.006297,-0.034174,0.002817,8,0.000099,408.000510
95,0.000380,0.900583,0.000084,0.001787,-0.033479,0.004555,6,0.000099,412.172471
96,0.000303,0.920541,-0.000181,0.000938,-0.031832,0.004936,30,0.000099,416.560020
97,0.000371,0.902830,-0.000068,0.000727,-0.029887,0.003470,13,0.000099,420.555989
98,0.000483,0.873558,-0.000071,0.002006,-0.028704,0.003611,11,0.000099,424.364428
99,0.000409,0.892901,-0.000171,0.000811,-0.027508,0.004270,14,0.000099,428.508616
100,0.000497,0.869947,-0.000369,0.001463,-0.025403,0.005879,30,0.000099,432.681592
101,0.000523,0.862970,-0.000317,0.001279,-0.023328,0.003615,16,0.000099,437.028700
102,0.000509,0.866679,0.000061,0.000665,-0.022071,0.003726,11,0.000099,441.084802
103,0.000577,0.848890,-0.000277,0.000935,-0.020174,0.004288,30,0.000099,445.577065
104,0.000662,0.826611,-0.000202,0.001775,-0.017622,0.003799,30,0.000099,450.143526
105,0.000673,0.823785,-0.000110,0.000852,-0.015285,0.003651,22,0.000099,454.858300
106,0.000727,0.809533,-0.000197,0.002215,-0.013981,0.003797,6,0.000099,459.526170
107,0.000570,0.850814,-0.000113,0.000989,-0.013104,0.005342,14,0.000099,464.372626
108,0.000681,0.821633,-0.000285,0.002726,-0.011995,0.003532,9,0.000099,468.822161
109,0.000570,0.850645,0.000006,0.001533,-0.011028,0.003346,11,0.000099,473.521880
110,0.000624,0.836667,-0.000141,0.001478,-0.009828,0.003506,15,0.000099,478.157022
111,0.000668,0.825155,-0.000044,0.001128,-0.008715,0.004628,10,0.000099,482.564016
112,0.000784,0.794657,-0.000066,0.002596,-0.008024,0.004685,5,0.000099,487.060848
113,0.000698,0.817204,-0.000535,0.002548,-0.007111,0.005345,18,0.000099,491.803429
114,0.000552,0.855462,-0.000179,0.001113,-0.005522,0.003099,30,0.000099,496.596358
115,0.000596,0.844046,-0.000178,0.000872,-0.003639,0.002914,13,0.000099,501.214761
